user_id,log_date,screen_time_hours,social_media_hours,gaming_hours,study_hours,sleep_hours,mood_score,productivity_score,notifications_checked,outside_time_minutes,addiction_risk_score,focus_score,productivity_score_ai,log_id
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-01,7.8,2.5,1.8,1.9,7.9,5,4,111,29,65.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-02,7.3,0.7,1.5,1.6,6.4,7,8,148,41,54.9,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-03,9.2,2.9,0.3,2.8,6.5,7,6,117,4,61.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-04,9.9,1.7,0.7,1.9,5.7,6,3,52,54,60.8,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-05,7.5,1.5,1.4,0.5,7.1,4,5,125,2,65.0,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-06,7.1,2.9,1.2,0.7,7.5,5,6,71,21,66.7,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-07,4.5,0.8,0.9,0.6,6.1,5,7,56,8,48.8,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-08,4.6,1.7,1.4,1.5,5.5,8,3,55,35,56.1,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-09,8.8,2.4,0.4,0.6,6.1,5,6,116,13,68.0,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-10,6.8,2.4,0.1,0.8,7.1,6,6,138,17,60.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-11,6.7,1.8,0.5,0.8,6.1,5,3,46,38,57.6,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-12,4.5,1.8,0.5,1.0,6.4,5,5,134,44,54.6,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-13,6.9,2.0,1.5,1.7,6.8,7,5,71,40,59.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-14,6.0,2.7,1.2,0.7,6.5,8,3,62,52,62.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-15,4.6,0.9,0.5,0.5,5.6,4,5,144,30,61.4,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-16,6.5,3.0,0.2,1.2,7.9,7,8,147,48,60.3,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-17,6.9,2.3,1.6,2.2,6.6,5,5,74,43,63.4,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-18,5.2,2.9,1.4,0.6,7.2,7,3,119,13,64.0,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-19,5.7,2.0,0.3,1.4,6.6,4,8,79,55,58.7,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-20,4.8,0.7,2.0,1.0,7.4,4,7,102,16,54.4,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-21,4.7,1.7,1.2,2.4,5.3,8,8,89,43,56.1,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-22,6.5,2.8,2.0,0.6,6.1,4,8,89,28,76.5,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-23,4.8,2.5,0.4,0.5,5.5,8,5,107,25,65.8,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-24,9.4,1.3,1.2,2.0,6.4,6,7,67,32,54.7,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-25,8.5,1.8,0.5,2.7,6.2,8,5,68,50,49.0,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-26,6.6,1.3,1.5,2.1,5.5,8,3,145,29,64.0,,,
63fb54f9-4f97-42ba-8b41-94c6e257bcb9,2026-01-27,9.4,2.5,0.3,0.9,5.7,4,8,97,21,76.2,,,
